        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         384      140.500       45.500        0.000  -1.86900286  -0.06397739   0.00000000
         385      140.500       55.500        0.000  -2.51500057  -0.11974250   0.00000000
         386      140.500       65.500        0.000  -3.22012199  -0.19432684   0.00000000
         387      140.500       75.500        0.000  -3.92077637  -0.27485854   0.00000000
         388      140.500       85.500        0.000  -4.54759150  -0.34272022   0.00000000
         389      140.500       95.500        0.000  -5.07835807  -0.40998550   0.00000000
         390      140.500      105.500        0.000  -5.51662685  -0.46361580   0.00000000
         391      140.500      115.500        0.000  -5.83997302  -0.49542185   0.00000000
         392      140.500      125.500        0.000  -5.99280144  -0.51801517   0.00000000
         393      140.500      135.500        0.000  -5.90647607  -0.52362650   0.00000000
         394      140.500      145.500        0.000  -5.63198368  -0.50217920   0.00000000
         395      140.500      155.500        0.000  -5.23419189  -0.45741893   0.00000000
         396      140.500      165.500        0.000  -4.76817543  -0.39802140   0.00000000
         397      140.500      175.500        0.000  -4.17861799  -0.35384994   0.00000000
